,Classic multiplier,n,Original Strassen,Vinograd-Strassen
0,1.330000000088205e-05,0,,
1,,0,2.0600000000925434e-05,
2,,0,,1.870000000003813e-05
3,1.6900000000319437e-05,1,,
4,,1,4.7000000000352316e-05,
5,,1,,4.5300000000025875e-05
6,8.180000000024279e-05,2,,
7,,2,0.0005348000000005015,
8,,2,,0.00020160000000046807
9,0.0002854999999986063,3,,
10,,3,0.0012857000000003893,
11,,3,,0.001381900000000158
12,0.002109700000000103,4,,
13,,4,0.01058049999999966,
14,,4,,0.010207399999998756
15,0.01890479999999961,5,,
16,,5,0.07591479999999962,
17,,5,,0.056742499999998586
18,0.14138319999999993,6,,
19,,6,0.7053595999999995,
20,,6,,0.410157400000001
21,1.1236965000000012,7,,
22,,7,4.5385344,
23,,7,,2.8188262
24,8.572356900000003,8,,
25,,8,32.6438013,
26,,8,,18.009176699999998
27,64.2954559,9,,
